"code","label"
"ICONCLASS","root category"
"0","Abstract, Non-representational Art"
"1","Religion and Magic"
"11","Christian religion"
"11A","Deity, God (in general) ~ Christian religion"
"11A1","God the Creator"
"11A11","God measuring the Universe (with compasses)"
"11A2","Divine Nature"
"11A21","Divinity, 'Divinità' (Ripa)"
"11A22","symbols ~ Divine Nature"
"11A221","circle symbolizing God's perfectness"
"11A23","God's perfections"
"11A3","God's wrath"
"11A31","'Flagello di Dio' (Ripa)"
"11B","the Holy Trinity, 'Trinitas coelestis'; Father, Son and Holy Ghost ~ Christian religion"
"11B1","Trinity represented by tripartite symbols"
"11B11","symbols of the Trinity ~ circular and/or triangular forms or arrangements"
"11B111","three concentric circles ~ Trinity"
"11B112","three interlocked circles ~ Trinity"
"11B113","triangle (within circle), with eye or tetragram ~ Trinity"
"11B114","three animals, geometrically arranged within a circle or triangle ~ Trinity"
"11B115","three running men, arranged in circular form ~ Trinity"
"11B12","Trinity represented as a person with three heads"
"11B121","'Tricephalus', three fused heads or faces only (~ Trinity)"
"11B13","Trinity represented by three animals sharing one head"
"11B14","other tripartite symbols of the Trinity"
"11B2","Trinity in which each of the Persons (God, Christ, Holy Ghost) is represented either by an object or by an animal"
"11B21","representation of the Trinity: hand (Father), lamb (Son), and dove (Holy Ghost)"
"11B22","representation of the Trinity: hand, cross and dove"
"11B23","representation of the Trinity: hand, chalice and dove"
"11B3","Holy Trinity in which one, two or all figures are represented in human shape"
"11B31","Trinity as three persons"
"11B311","Trinity as three identical persons"
"11B312","Father and Holy Ghost holding the crucified Christ (~ Trinity)"
"11B32","Trinity in which God the Father and Christ are represented as persons, the Holy Ghost as dove"
"11B321","God the Father seated, holding the youthful Christ (Emmanuel) in his lap"
"11B322","God the Father and Christ enthroned"
"11B3221","God the Father and Christ as identical persons"
"11B3222","Christ showing his wounds"
"11B323","God the Father holding the crucified or dead Christ"
"11B3231","God the Father holding the crucifix, 'Gnadenstuhl', Mercy-Seat, Throne of Grace"
"11B3232","God the Father standing or seated, holding the body of Christ, 'Pitié-de-Notre-Seigneur', 'Not Gottes'"
"11B33","representations of the Trinity"
"11B331","representation of the Trinity: person (Father), lamb (Son), and dove (Holy Ghost)"
"11B332","representation of the Trinity: person (Father), lion (Son), and dove (Holy Ghost)"
"11B333","representation of the Trinity: symbol (Father), person (Son), dove (Holy Ghost)"
"11B4","'Ratschluss der Erlösung', 'Prolog im Himmel'; Divine decree of Redemption"
"11B41","Divine decree of Redemption, allegorical figures present, e.g. Justice, Mercy, Peace and Truth (the Virtues reconciled)"
"11B42","sending of Gabriel ~ 'Ratschluss der Erlösung'"
"11B43","return of Gabriel ~ 'Ratschluss der Erlösung'"
"11B44","sending of the Son ~ 'Ratschluss der Erlösung'"
"11B45","return of the Son ~ 'Ratschluss der Erlösung'"
"11B5","extensions of the Holy Trinity"
"11B51","Quaternity (i.e. Trinity with Mary)"
"11B52","Quinity"
"11C","God the Father"
"11C1","symbols of God the Father"
"11C11","the all-seeing eye, triangle with eye ~ symbol of God the Father"
"11C12","hand, 'Dextera Dei' ~ symbol of God the Father"
"11C13","tetragram (in Roman or Hebrew script) ~ symbol of God the Father"
"11C14","(pillar of) fire ~ symbol of God the Father"
"11C15","(rays of) light ~ symbol of God the Father"
"11C16","alpha and omega ~ symbol of God the Father"
"11C2","God the Father represented as human being, usually with crown or tiara or sceptre and/or globe"
"11C21","God the Father as young or adult man (perhaps resembling Christ)"
"11C211","God the Father enthroned, usually with sceptre and/or globe"
"11C22","God the Father as young or adult man resembling Jupiter"
"11C221","God the Father (resembling Jupiter) enthroned, usually with sceptre and/or globe"
"11C23","God the Father as bearded old man, usually with crown or tiara or sceptre and/or globe"
"11C231","God the Father (as bearded old man) enthroned, usually with crown or tiara, and with sceptre and/or globe"
"11C3","Christ sitting at God's right hand"
"11C31","God crowning Christ"
"11C32","God simultaneously crowning Christ and Mary"
"11C4","'Scala Salutis', Christ and Mary interceding with God the Father"
"11C41","Christ interceding with God the Father"
"11C5","other representations ~ God the Father"
"11C51","God the Father between the sun and the moon"
"11D","Christ"
"11D1","symbols and prefigurations of Christ"
"11D11","letters and monograms ~ symbols of Christ"
"11D111","alpha and omega, sometimes with wreath, triangle, instruments of the Passion, etc. ~ symbol of Christ"
"11D112","Chrismon and derived forms ~ symbol of Christ"
"11D113","IHS ('Iesus Hominum Salvator') ~ symbol of Christ"
"11D1131","labarum, i.e. imperial standard bearing the christogram IHS"
"11D1132","adoration of the name of Jesus"
"11D114","'Ichthys' ~ symbol of Christ"
"11D12","the cross ~ symbols of Christ"
"11D121","cross as symbol of Christ"
"11D122","cross with symbol of Christ on it, e.g. lamb"
"11D1221","cross with head or bust of Christ"
"11D123","specific forms of the cross"
"11D123(...)","specific forms of the cross (with NAME)"
"11D123(ANDREW'S CROSS)","specific forms of the cross: Andrew's cross"
"11D123(ANSATE CROSS)","specific forms of the cross: ansate cross"
"11D123(BENEDICTINE CROSS)","specific forms of the cross: Benedictine cross"
"11D123(CARAVACA CROSS)","specific forms of the cross: Caravaca cross"
"11D123(FORKED CROSS)","specific forms of the cross: forked cross"
"11D123(GREEK CROSS)","specific forms of the cross: Greek cross"
"11D123(LORRAINE CROSS)","specific forms of the cross: Lorraine cross"
"11D123(SWASTIKA)","specific forms of the cross: swastika"
"11D123(TAU-CROSS)","specific forms of the cross: Tau-cross"
"11D124","venerating the cross"
"11D13","(other) symbols of Christ"
"11D131","symbols of Christ ~ animals"
"11D1311","lamb bearing cross or banner, 'Agnus Dei' ~ symbol of Christ"
"11D132","symbols of Christ ~ plants"
"11D133","symbols of Christ ~ objects"
"11D1331","'Etimasia', empty throne with the book of life, prepared for Christ"
"11D134","bread and fish ~ symbols of Christ"
"11D14","prefigurations of Christ, Christ and his prefigurations"
"11D15","the Incarnation ~ Christ"
"11D2","Christ as child or youth (in general) ~ Christian religion"
"11D21","Christ-child (with attributes)"
"11D22","Christ-child ~ types of adult Christ"
"11D23","Christ-child ~ Passion, 'Schmerzenskind'"
